Year,Category,Full Name,Movie,Win
2018,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Elsie Fisher,Eighth Grade,FALSE
2018,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Charlize Theron,Tully,FALSE
2018,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Constance Wu,Crazy Rich Asians,FALSE
2018,Best Performance by an Actress in a Supporting Role in any Motion Picture,Regina King,If Beale Street Could Talk,TRUE
2018,Best Performance by an Actress in a Supporting Role in any Motion Picture,Claire Foy,First Man,FALSE
2018,Best Performance by an Actress in a Supporting Role in any Motion Picture,Emma Stone,"Favourite, The",FALSE
2018,Best Performance by an Actress in a Supporting Role in any Motion Picture,Rachel Weisz,"Favourite, The",FALSE
2018,Best Performance by an Actress in a Supporting Role in any Motion Picture,Amy Adams,Vice,FALSE
2019,Best Director - Motion Picture,Sam Mendes,1917,TRUE
2019,Best Director - Motion Picture,Bong Joon Ho,Parasite,FALSE
2019,Best Director - Motion Picture,Todd Phillips,Joker,FALSE
2019,Best Director - Motion Picture,Martin Scorsese,"Irishman, The",FALSE
2019,Best Director - Motion Picture,Quentin Tarantino,Once Upon a Time...in Hollywood,FALSE
2019,Best Motion Picture - Drama,Sam Mendes,1917,TRUE
2019,Best Motion Picture - Drama,Martin Scorsese,"Irishman, The",FALSE
2019,Best Motion Picture - Drama,Todd Phillips,Joker,FALSE
2019,Best Motion Picture - Drama,Noah Baumbach,Marriage Story,FALSE
2019,Best Motion Picture - Drama,Fernando Meirelles,"Two Popes, The",FALSE
2019,Best Motion Picture - Musical or Comedy,Quentin Tarantino,Once Upon a Time...in Hollywood,TRUE
2019,Best Motion Picture - Musical or Comedy,Craig Brewer,Dolemite Is My Name,FALSE
2019,Best Motion Picture - Musical or Comedy,Taika Waititi,Jojo Rabbit,FALSE
2019,Best Motion Picture - Musical or Comedy,Rian Johnson,Knives Out,FALSE
2019,Best Motion Picture - Musical or Comedy,Dexter Fletcher,Rocketman,FALSE
2019,Best Performance by an Actor in a Motion Picture - Drama,Joaquin Phoenix,Joker,TRUE
2019,Best Performance by an Actor in a Motion Picture - Drama,Christian Bale,Ford v Ferrari,FALSE
2019,Best Performance by an Actor in a Motion Picture - Drama,Antonio Banderas,Pain and Glory,FALSE
2019,Best Performance by an Actor in a Motion Picture - Drama,Adam Driver,Marriage Story,FALSE
2019,Best Performance by an Actor in a Motion Picture - Drama,Jonathan Pryce,"Two Popes, The",FALSE
2019,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Taron Egerton,Rocketman,TRUE
2019,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Daniel Craig,Knives Out,FALSE
2019,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Roman Griffin Davis,Jojo Rabbit,FALSE
2019,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Leonardo DiCaprio,Once Upon a Time...in Hollywood,FALSE
2019,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Eddie Murphy,Dolemite Is My Name,FALSE
2019,Best Performance by an Actor in a Supporting Role in any Motion Picture,Brad Pitt,Once Upon a Time...in Hollywood,TRUE
2019,Best Performance by an Actor in a Supporting Role in any Motion Picture,Tom Hanks,"Beautiful Day in the Neighborhood, A",FALSE
2019,Best Performance by an Actor in a Supporting Role in any Motion Picture,Anthony Hopkins,"Two Popes, The",FALSE
2019,Best Performance by an Actor in a Supporting Role in any Motion Picture,Al Pacino,"Irishman, The",FALSE
